row ID,row m/z,row retention time,20240730_Ext_E31_MGO_24h_ddms30.mzML Peak area,20240730_Ext_E31_24h_ddms30.mzML Peak area
3,186.9563073,0.024376133,324317.8,0
16,158.9613957,0.024424959,635396.7,739531.3
20,171.9929689,0.024424959,424781.6,416260.03
81,276.8967678,0.050860714,99883.766,226273.67
87,223.0636527,0.065587126,2354781.5,2254509
122,287.8889042,0.0773453,0,212933.92
125,328.9152255,0.0773453,0,338358.47
296,185.9834158,0.6958963,131426.69,108816.94
310,180.903823,0.8054785,617752.2,0
377,203.0524667,0.87659925,281022.53,479108.56
379,219.0264369,0.87659925,157604.56,1154497.6
402,381.0788329,0.89330906,77635.984,713962.9
412,291.9067218,0.896644,728650.1,0
417,332.9329433,0.896644,330979.9,0
432,365.0841006,0.918832,0,1329576.5
447,278.1233294,0.9574384,361248.7,375726.6
459,234.9563809,0.9614573,708309.25,0
478,205.0818112,0.97217834,193902.7,326999.8
499,188.0916542,0.9866539,173001.28,351971.03
514,305.1339679,1.0013804,688492.2,1361780.9
566,176.0087797,1.0495238,69638.664,97155.39
571,328.8939193,1.0495238,601481.25,1404580.5
590,165.5010743,1.0878067,442876.38,0
615,297.9630175,1.0878067,394894.06,0
617,301.9574871,1.0878067,374550.25,0
619,308.9310965,1.0878067,2079682.6,0
626,353.928602,1.0878067,336240.53,0
628,406.9078314,1.0878067,1409160.1,0
656,273.9624513,1.1191808,534567.9,0
670,160.0344956,1.1402919,581227.9,942998.44
680,157.0352668,1.177385,1.25E+08,0
690,353.9285388,1.1912565,0,387555.03
714,305.1338315,1.3170304,0,312630.38
723,256.959756,1.4019535,3312264.8,0
734,160.1077317,1.4377234,0,78284.34
735,173.1396199,1.4377234,0,381747.06
753,289.1392066,1.4696543,171929.4,510747.94
762,251.1024324,1.4705919,0,67551.1
774,178.9460237,1.5273131,815729.3,0
780,170.0812665,1.5279973,14518.277,97814.266
795,200.1027716,1.5640591,0,178266.08
817,171.0507146,1.5940785,69491.38,565329.06
818,230.102243,1.5940785,69593.05,510280.44
822,195.9488156,1.5948493,477942.06,0
837,358.9912353,1.6299849,0,179629.84
860,272.112808,1.6754789,664151.3,3355513.2
863,210.1158157,1.6883646,0,198290.89
871,182.0812552,1.6902337,62844.19,336454.75
872,296.1340615,1.6902337,26626.766,109656.234
894,358.9913817,1.7202775,0,151107.42
916,268.1040449,1.7495573,0,648749.56
925,219.9725661,1.7585576,1587060,0
929,271.9440748,1.7585576,384518.12,0
936,215.1026897,1.7687147,11990.5205,54915.297
940,223.1076239,1.7788718,0,248279.05
955,210.1157161,1.8056662,20210.018,167900.66
965,230.1022974,1.8351455,91256.51,510835.62
967,178.9460465,1.8445604,0,962153.75
1009,284.0990136,1.9002922,23388.336,561489.5
1028,223.0636863,1.9193006,1836706.6,0
1036,297.0825723,1.9193006,405499.2,0
1041,198.0761688,1.9298763,20449.84,209160.38
1042,226.1186138,1.9298763,23661.945,70563.86
1070,435.1973732,1.9672261,9834.126,81107.91
1134,227.1502181,2.045794,29576.469,82510.305
1143,160.1079686,2.0693772,0,42762.996
1165,290.1347327,2.0814695,84151.94,0
1168,230.102297,2.0901842,14756.272,170862.14
1214,198.0872758,2.137148,0,62944.633
1253,399.1758461,2.1666958,0,63573.715
1270,213.1346007,2.1962392,0,52598.89
1276,254.1610491,2.1962392,0,40343.47
1294,273.1445481,2.222825,9935.207,115871.195
1339,224.0774532,2.2587554,0,83175.83
1357,180.1020161,2.28993,0,65128.164
1364,219.9725945,2.28993,0,3805282
1385,232.0816077,2.3022604,26149.598,249275.12
1386,376.1602236,2.3022604,18907.309,154092.81
1393,191.9776718,2.3194966,0,1429823.5
1409,282.1198813,2.3194966,0,243474.7
1443,356.1197314,2.3491585,0,47200.227
1457,229.1183237,2.3875234,0,38931.824
1463,300.1442097,2.3875234,0,97371.586
1468,199.1078051,2.4151204,50584.504,458325.28
1493,193.0973234,2.451203,0,160405.88
1524,223.1078735,2.4836903,0,48939.133
1577,212.0917539,2.5513365,0,403803.62
1583,240.1230051,2.5513365,0,188960.02
1602,166.0863672,2.5806522,44828.316,446323.62
1611,224.0917065,2.5809596,0,79669.84
1633,228.0866917,2.6105146,8651.526,161207.33
1682,421.1340878,2.6489897,21496.684,190868.48
1725,392.1549268,2.7172384,0,41187.797
1726,196.0970114,2.7173648,13682.277,114441.21
1744,384.1149369,2.746937,0,87195.67
1767,267.1339806,2.776633,0,186668.48
1781,480.1715519,2.776633,0,205585.8
1809,421.1339358,2.8135843,0,69426.75
1819,234.0972237,2.84328,0,65962.45
1823,298.0922907,2.84328,0,168327.11
1868,171.0288547,2.911222,0,47786.566
1895,213.1235058,2.940506,11713.854,121793.016
1902,194.1177641,2.940815,0,76971.48
1918,215.0009886,2.9748595,0,77828.61
1940,245.1609093,3.00457,0,36701.836
1952,216.0867921,3.0260909,13392.539,150320.66
1954,210.1125964,3.0419185,0,82570.016
2005,480.1716377,3.1016521,0,73083.7
2014,270.1915836,3.1356394,0,38757.6
2066,211.0236027,3.2613854,0,733346.1
2087,373.0762324,3.2613854,0,328389.2
2089,519.1343547,3.2613854,0,2298253.2
2090,536.1607888,3.2613854,0,264086.66
2117,791.1670872,3.328075,0,68874
2130,327.9936876,3.3578432,0,63584.54
2135,291.0063725,3.3674252,22250.896,55911.445
2145,1217.283384,3.394719,0,327949.8
2150,234.0972282,3.424401,0,48516.402
2186,636.1041557,3.4928238,0,144355.75
2187,1071.224865,3.4928238,0,127444.25
2188,1217.282802,3.4928238,0,1115643.5
2200,267.1451757,3.5223637,0,73847.43
2210,300.2018223,3.5796962,31913.63,67337.65
2212,210.1125603,3.589008,0,104563.92
2214,235.1442333,3.589008,0,56241.992
2231,265.1434532,3.621454,0,71396.22
2236,462.233663,3.621454,0,72171.39
2252,795.1613147,3.6513617,0,23523.9
2256,207.1017297,3.681373,0,21974.182
2277,660.1771661,3.7155404,0,47788.18
2278,433.1340961,3.7393007,9752.641,126048.56
2279,190.0500119,3.7453322,0,30240.246
2289,1127.272988,3.7453322,0,60975.758
2293,210.1125252,3.775136,0,181292.03
2302,810.245222,3.801659,81926.64,0
2316,253.16578,3.843577,0,37565.38
2327,265.1545916,3.8821368,0,74756.98
2332,433.1340482,3.8892164,19496.828,319462.3
2334,565.1765424,3.896296,50096.785,0
2346,1217.282774,3.9117014,0,326628.28
2348,810.245288,3.9263656,31473.154,0
2372,248.1127625,4.000197,18827.973,170369.25
2385,433.1338622,4.014946,202968.2,1905415.2
2399,333.0239989,4.074934,0,196755.52
2404,641.1344314,4.074934,0,30786.178
2407,738.2239781,4.0919642,29979.883,0
2417,756.1987525,4.1047153,0,63666.207
2421,810.2451009,4.1261234,162254.95,0
2429,224.1281509,4.168787,0,65309.457
2431,385.207996,4.168787,0,1289990.2
2432,726.2242996,4.168787,0,84982.39
2433,779.1665414,4.168787,0,78941.98
2443,252.0866972,4.2070594,0,37604.684
2452,1365.357874,4.2070594,0,71613.25
2463,420.1861645,4.2365956,0,72563.39
2465,738.2237813,4.2365956,0,1950680
2471,425.5773745,4.2544265,71847.82,0
2475,755.2021435,4.2544265,962629.56,0
2477,388.2537845,4.2602572,52717.29,48492.742
2487,744.1979219,4.266088,0,73908.45
2491,808.2291318,4.288413,57985.965,0
2510,637.1119648,4.325395,0,78418.336
2511,645.1656206,4.325395,0,111256.32
2518,1219.298497,4.325395,0,820127.5
2538,887.2814178,4.355015,0,48395.355
2545,399.2236935,4.390976,0,51304.785
2548,752.2392037,4.3998604,28943.625,84249.31
2551,244.096678,4.4205346,0,65173.363
2567,425.5772424,4.4447064,117240.414,0
2570,719.1807373,4.4447064,146200.72,0
2571,737.1914063,4.4447064,570511.1,0
2572,755.2020651,4.4447064,1840909,0
2581,231.1126874,4.450156,0,160517.5
2589,695.1814996,4.477393,40896.363,0
2592,1219.299336,4.478511,20139.863,1521431.8
2600,637.1120501,4.479628,0,173575.1
2602,772.191549,4.479628,0,111753.75
2603,1073.240363,4.479628,0,138396.11
2617,194.0812307,4.5421553,0,106861.734
2619,251.1024604,4.5421553,0,73672.66
2623,432.2802771,4.5433183,51230.37,38774.12
2632,248.1126356,4.5730076,14991.306,123704.83
2633,824.260005,4.5743084,18435.602,0
2642,627.1552576,4.6024523,5966.817,187070.75
2646,737.191581,4.6036873,358628.75,0
2647,755.2022261,4.6036873,906810.4,0
2653,680.2181832,4.638818,23980.408,307963.03
2659,344.1337734,4.6685877,7759.9053,54424.312
2660,752.2401838,4.6685877,24773.963,248655.97
2673,1219.298396,4.6692123,0,836576.6
2681,248.1125968,4.6992426,10056.019,89403.69
2682,683.1811287,4.6992426,1235633.6,260483.83
2687,665.1706188,4.699768,83708.18,0
2688,769.2179556,4.699768,53607.7,0
2699,637.1117051,4.7280645,0,128690.25
