CHROMATOGRAM
D:\20240826\20240730_Ext_E31_24h_ddms30.raw
Data points: 630
Time(min),Relative Abundance
0.005031283,62880296
0.024473782,114718590
0.047861317,104032740
0.077345299,107085900
0.10682477,95142680
0.14068728,89393520
0.17026211,85083496
0.20594232,77692448
0.23557188,73475352
0.26519142,70092472
0.3021637,63995928
0.33183106,62120000
0.36151026,60212024
0.3953082,55936652
0.42503176,56782280
0.4624072,54335336
0.49214471,54400324
0.5218542,53470904
0.55511158,49900988
0.5848678,52886788
0.61466263,50937816
0.64602785,52912232
0.67572871,58338996
0.70896975,56973272
0.73868672,53450812
0.76784307,563681540
0.8002722,1713787600
0.82902563,1392406700
0.85781112,670018110
0.88997412,482677250
0.91883202,357608860
0.95341953,234796930
0.98237073,692010560
1.0112409,611756540
1.0452933,580517630
1.0742209,576602820
1.1031989,565954820
1.1332252,551478720
1.1622113,525859840
1.1912565,489213180
1.2277232,467986690
1.2568104,453330180
1.2879537,443820130
1.3170304,438024220
1.3461706,422488960
1.3796085,428321980
1.4086597,417377310
1.4377234,399587970
1.4705919,392704030
1.4996575,370661920
1.5286815,348059900
1.5640591,327637540
1.5933079,329470240
1.6299848,284026910
1.6592289,295967650
1.6883646,343140290
1.7202776,249152560
1.7495572,242699710
1.7788718,218877780
1.8152398,205702670
1.8445604,198389950
1.8817848,175816960
1.9110511,185726110
1.9404521,167250130
1.9766783,147101060
2.0061533,140925310
2.0399658,133448200
2.0693773,139905230
2.0988989,129188470
2.1371479,118523420
2.1666958,116966860
2.1962393,117247410
2.2292662,118622200
2.2587554,106732660
2.28993,106180320
2.3194966,107231840
2.3491586,98189352
2.3875235,94067288
2.4171197,100859660
2.4512031,91861304
2.4836902,89072968
2.513264,96364248
2.5513365,95309512
2.5809595,96380160
2.6106809,81435960
2.6489071,82238280
2.6786888,73234096
2.7172385,70243072
2.7469371,75232912
2.7766331,78617272
2.8135844,74905312
2.8432801,70469720
2.8816703,65325608
2.911222,67895976
2.9408149,64077172
2.9748594,63429984
3.0045701,64466664
3.0419184,62609320
3.0717824,57478720
3.1016522,58895988
3.1356394,64473368
3.1654869,54168864
3.1954578,52048944
3.2320806,61272176
3.2613854,195660590
3.2984504,79453280
3.328075,57216104
3.3578432,57143244
3.3947189,84676000
3.424401,65490444
3.4632655,49532088
3.4928239,124442800
3.5223636,85685480
3.5592253,73272440
3.589008,62520956
3.6214539,58198556
3.6513616,47748644
3.6813728,49151028
3.7155404,50973880
3.7453323,56087432
3.775136,51890856
3.8137438,49123300
3.8435769,53305332
3.8821369,76754744
3.9117015,87317184
3.9414172,66838428
3.9773804,52016396
4.006878,109867220
4.045292,64721908
4.0749339,78563184
4.1047152,54728348
4.1391493,45074524
4.168787,83742400
4.2070595,64886876
4.2365957,106088390
4.2660881,100455840
4.295843,59460484
4.325395,101264960
4.3550146,86868128
4.390976,59887476
4.4205348,86539856
4.450156,88771400
4.4796281,104523940
4.5093449,57994012
4.5421551,62538424
4.5717074,71943680
4.6012179,75900640
4.6396892,72133720
4.6692125,121361460
4.6987168,80953416
4.7280646,155342990
4.7575464,86245152
4.7958627,130552740
4.8253364,92652160
4.8549034,68338608
4.8888562,81591496
4.9181934,107275200
4.95059,127429420
4.9818202,137703060
5.0113896,72008376
5.0491367,77484800
5.0787572,69798576
5.1085151,63042676
5.138044,112029080
5.1673587,163614160
5.1996403,88814184
5.2326545,109609140
5.2627091,50050296
5.2926852,50859104
5.3228675,44270596
5.3532005,42468552
5.3877937,95432744
5.416846,1729324500
5.4457027,1066609900
5.4780313,288410110
5.5071813,150651620
5.5437824,88966840
5.5734924,69842856
5.6033961,63139784
5.6419738,68259456
5.6719009,52481712
5.7050139,81689856
5.7345792,88292968
5.7647629,45507584
5.8040506,37977196
5.8339907,59130528
5.8676058,388370560
5.9011229,178074850
5.9304167,152050900
5.963583,688455680
5.9925986,183036420
6.022066,76511576
6.0551122,57747312
6.0851803,50046868
6.1147878,90889768
6.1489594,60077428
6.1790324,46437896
6.2120065,34863364
6.2422927,38266604
6.2718513,177081170
6.3080005,150805460
6.3375626,74951544
6.3769042,36002180
6.4075293,35245504
6.4370554,134166840
6.4710825,57438268
6.5016791,35698992
6.5310757,159159280
6.5647878,155024320
6.5949181,47059228
6.6322362,52850092
6.6626762,41596440
6.6921214,200355420
6.7272196,94382296
6.7574002,51507656
6.7969603,35356244
6.8276006,35182808
6.8580896,39820016
6.8960629,339830210
6.9253602,115484340
6.9601332,41032780
6.9909889,33548020
7.0217184,33087198
7.0605583,53236376
7.0908335,40940452
7.130201,32420814
7.1607282,33023438
7.1913865,31803430
7.2299949,39284732
7.2596991,81110880
7.2979234,100357660
7.3281128,42730072
7.3587452,33788428
7.3933726,54349624
7.4225952,260485100
7.4594005,91598960
7.4896286,46787708
7.5198329,53761136
7.5573387,212142940
7.5868126,99206024
