"row.ID","row.m.z","row.retention.time","X20240730_Ext_E31_24h_ddms30.mzML.Peak.area","X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area"
680,157.0352668,1.177385,0,1.25e+08
6470,158.1288101,18.127333,7179469.5,0
16,158.9613957,0.024424959,739531.3,635396.7
670,160.0344956,1.1402919,942998.44,581227.9
734,160.1077317,1.4377234,78284.34,0
1143,160.1079686,2.0693772,42762.996,0
3072,165.0547309,5.6719007,96287.7,0
590,165.5010743,1.0878067,0,442876.38
1602,166.0863672,2.5806522,446323.62,44828.316
3071,167.0554252,5.6694174,189162,1049754.9
6100,169.1334988,17.46429,0,2238553.2
5931,169.1335163,17.336178,2865090.2,0
780,170.0812665,1.5279973,97814.266,14518.277
1868,171.0288547,2.911222,47786.566,0
817,171.0507146,1.5940785,565329.06,69491.38
20,171.9929689,0.024424959,416260.03,424781.6
735,173.1396199,1.4377234,381747.06,0
6031,175.0978214,17.337952,961498.9,360205.62
566,176.0087797,1.0495238,97155.39,69638.664
3438,177.0561791,7.426602,91489.29,19192.734
3467,177.0564056,7.560073,99669.516,22082.645
6600,178.1338484,18.248852,2022979,0
774,178.9460237,1.5273131,0,815729.3
967,178.9460465,1.8445604,962153.75,0
1357,180.1020161,2.28993,65128.164,0
310,180.903823,0.8054785,0,617752.2
4082,181.1222597,9.877107,225723.12,24156.32
871,182.0812552,1.6902337,336454.75,62844.19
6480,183.1492031,18.127333,970271.1,0
296,185.9834158,0.6958963,108816.94,131426.69
3,186.9563073,0.024376133,0,324317.8
6482,187.1440705,18.127333,2687295.2,0
499,188.0916542,0.9866539,351971.03,173001.28
6399,189.1134323,17.911104,0,1981356.6
2279,190.0500119,3.7453322,30240.246,0
3078,190.0713432,5.7050138,1872160.6,0
2979,190.0713608,5.4069595,0,2179071.2
1393,191.9776718,2.3194966,1429823.5,0
1493,193.0973234,2.451203,160405.88,0
2860,194.0812211,5.0491366,111680.46,0
2617,194.0812307,4.5421553,106861.734,0
1902,194.1177641,2.940815,76971.48,0
4034,195.1379512,9.714765,72609.4,0
