row.ID,row.m.z,row.retention.time,X20240730_Ext_E31_24h_ddms30.mzML.Peak.area,X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area,Peakgroup_id,NonMGO.peak.area,MGO.peak.area,Peak_Area_Change,Label
680,157.0352668,1.177385,0,125000000,1,0,125000000,125000000,P
6470,158.1288101,18.127333,7179469.5,0,2,7179469.5,0,7179469.5,S
16,158.9613957,0.024424959,739531.3,635396.7,3,739531.3,635396.7,104134.6000000001,S
670,160.0344956,1.1402919,942998.44,581227.9,4,942998.44,581227.9,361770.5399999999,S
734,160.1077317,1.4377234,78284.34,0,5,121047.336,0,121047.336,S
1143,160.1079686,2.0693772,42762.996,0,5,121047.336,0,121047.336,S
3072,165.0547309,5.6719007,96287.7,0,6,96287.7,0,96287.7,S
590,165.5010743,1.0878067,0,442876.38,7,0,442876.38,442876.38,P
1602,166.0863672,2.5806522,446323.62,44828.316,8,446323.62,44828.316,401495.304,S
3071,167.0554252,5.6694174,189162,1049754.9,9,189162,1049754.9,860592.8999999999,P
6100,169.1334988,17.46429,0,2238553.2,10,2865090.2,2238553.2,626537,S
5931,169.1335163,17.336178,2865090.2,0,10,2865090.2,2238553.2,626537,S
780,170.0812665,1.5279973,97814.266,14518.277,11,97814.266,14518.277,83295.989,S
1868,171.0288547,2.911222,47786.566,0,12,47786.566,0,47786.566,S
817,171.0507146,1.5940785,565329.06,69491.38,13,565329.06,69491.38,495837.68000000005,S
20,171.9929689,0.024424959,416260.03,424781.6,14,416260.03,424781.6,8521.569999999949,P
735,173.1396199,1.4377234,381747.06,0,15,381747.06,0,381747.06,S
6031,175.0978214,17.337952,961498.9,360205.62,16,961498.9,360205.62,601293.28,S
566,176.0087797,1.0495238,97155.39,69638.664,17,97155.39,69638.664,27516.725999999995,S
3438,177.0561791,7.426602,91489.29,19192.734,18,191158.80599999998,41275.379,149883.42699999997,S
3467,177.0564056,7.560073,99669.516,22082.645,18,191158.80599999998,41275.379,149883.42699999997,S
6600,178.1338484,18.248852,2022979,0,19,2022979,0,2022979,S
774,178.9460237,1.5273131,0,815729.3,20,962153.75,815729.3,146424.44999999995,S
967,178.9460465,1.8445604,962153.75,0,20,962153.75,815729.3,146424.44999999995,S
1357,180.1020161,2.28993,65128.164,0,21,65128.164,0,65128.164,S
310,180.903823,0.8054785,0,617752.2,22,0,617752.2,617752.2,P
4082,181.1222597,9.877107,225723.12,24156.32,23,225723.12,24156.32,201566.8,S
871,182.0812552,1.6902337,336454.75,62844.19,24,336454.75,62844.19,273610.56,S
6480,183.1492031,18.127333,970271.1,0,25,970271.1,0,970271.1,S
296,185.9834158,0.6958963,108816.94,131426.69,26,108816.94,131426.69,22609.75,P
3,186.9563073,0.024376133,0,324317.8,27,0,324317.8,324317.8,P
6482,187.1440705,18.127333,2687295.2,0,28,2687295.2,0,2687295.2,S
499,188.0916542,0.9866539,351971.03,173001.28,29,351971.03,173001.28,178969.75000000003,S
6399,189.1134323,17.911104,0,1981356.6,30,0,1981356.6,1981356.6,P
